name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
quadratic, 0.9803353775267475, 0.16149899682798186, 0.913299009431576, 0.15688625937332074, 0.2504656, 0.171966, 0.1717702
proxy, 0.981649774202031, 0.17290076078506245, 0.9190517687600733, 0.13212289526508, 0.1668456, 0.1322412, 0.1997056
shapley, 0.9826213268632252, 0.1597801358298522, 0.9233613680598569, 0.13897553568759619, 0.1947892, 0.1411982, 0.2041334
svcg, 0.9828420547802467, 0.15672397927840523, 0.9247852220365029, 0.14033905935411223, 0.1698182000016019, 0.11965499999977161, 0.18737846666774777
bid, 0.9678524721677162, 0.21448460922167328, 0.8614479188466766, 0.1918534311690077, 0.3337416, 0.2417936, 0.19622
quadratic, 0.980019674515321, 0.1628897493287323, 0.916535414235298, 0.1580425567536385, 0.250422, 0.1713582, 0.1711554
proxy, 0.982874525891579, 0.16612769886697532, 0.932509775372363, 0.1268301785330968, 0.1584828, 0.1270152, 0.1895724
shapley, 0.9833236394849166, 0.1550217078240863, 0.9321265006543779, 0.13718616531841463, 0.1912525, 0.1376301, 0.196333
svcg, 0.9834079033408568, 0.15299724208342305, 0.9329254036502589, 0.13874026783313223, 0.16541726666819165, 0.11579826666627194, 0.17880413333438466
bid, 0.9664549145259832, 0.21898928164301715, 0.8588907667762281, 0.19530418208379283, 0.3420076, 0.2432902, 0.2001536
quadratic, 0.9797118513360356, 0.1642429901215429, 0.9199844633418326, 0.1590739254437357, 0.2504306, 0.1708048, 0.1705982
proxy, 0.9840870701951582, 0.15925934770035413, 0.9462319990600991, 0.12155717539314895, 0.1502196, 0.1216448, 0.179364
shapley, 0.9839513649746483, 0.15082557325545484, 0.9409064175830967, 0.13548025141803718, 0.1878177, 0.1343059, 0.1890093
svcg, 0.9838789325140542, 0.14997773857106705, 0.9405182204153836, 0.1373944914221598, 0.16114326666810155, 0.11206926666609286, 0.1709222000010015
bid, 0.9650188361669411, 0.22336899393942694, 0.8565381933942938, 0.19866700120219585, 0.3503636, 0.2446584, 0.2038984
quadratic, 0.9794381463991764, 0.16551512383958647, 0.9239520765171595, 0.1599089053553993, 0.2503642, 0.170349, 0.1702704
proxy, 0.9853052994205492, 0.15223316151141525, 0.9605926130208629, 0.11615167552792798, 0.1418328, 0.1160256, 0.1691788
shapley, 0.9845739560973604, 0.14687254284999798, 0.9500341086688241, 0.13378553382424965, 0.1842985, 0.1310007, 0.1819403
svcg, 0.9843977819738984, 0.14664429486495859, 0.9491234072439834, 0.1360002331845275, 0.15678346666799475, 0.10808113333255034, 0.1628093333342569
bid, 0.9636098520070436, 0.22758277306779623, 0.8545130690788872, 0.20188041007571206, 0.3586116, 0.2459566, 0.2075762
quadratic, 0.9791614441057107, 0.16682475012105613, 0.9283267532203417, 0.160664947159912, 0.2502822, 0.1698974, 0.16985
proxy, 0.9865116936992906, 0.14507196809029121, 0.9754564120987741, 0.11065260507785694, 0.1333856, 0.110296, 0.1586604
shapley, 0.9852010818399266, 0.14299432467438938, 0.9597205637973008, 0.13199645085328268, 0.1807459, 0.1278008, 0.1749595
svcg, 0.9849784890475572, 0.14323920299879214, 0.958659002917741, 0.1341614550562299, 0.15241760000120022, 0.10448466666570537, 0.15517380000081366
bid, 0.96223744144084, 0.23164050666442948, 0.8528181315120001, 0.2049760316501286, 0.3669726, 0.2470886, 0.2112832
quadratic, 0.9788638297608877, 0.16820175660574696, 0.9329111946611908, 0.16140353799780927, 0.2504432, 0.169575, 0.1695424
proxy, 0.9877073554487925, 0.13779330563473144, 0.9911591230133344, 0.1048355459938978, 0.1251432, 0.1046796, 0.148466
shapley, 0.985766829362243, 0.13946712870043917, 0.9696623654489355, 0.13013390725392607, 0.1773857, 0.1249255, 0.1686719
svcg, 0.9855912035120873, 0.13959591889174872, 0.969263649549029, 0.1320984732376334, 0.1482190666677301, 0.10107286666573925, 0.1475556666673373
bid, 0.9600742650632696, 0.23752547864921142, 0.8449849934689274, 0.21039492739660115, 0.3753522, 0.246204, 0.2120438
quadratic, 0.9784935669852102, 0.16988351665779033, 0.93738732485263, 0.16225369486191235, 0.2503876, 0.1690898, 0.1691016
proxy, 0.9888957587771681, 0.13021354025163237, 1.0070783974251527, 0.09926312085160345, 0.1168248, 0.098642, 0.1380096
shapley, 0.9863380001102751, 0.13595835337382406, 0.9800398390202469, 0.12844881178884812, 0.1738762, 0.1216986, 0.1619664
svcg, 0.9861217961623407, 0.13656839858194147, 0.979387082237911, 0.13033125220522973, 0.14388433333424025, 0.09750619999911389, 0.14031060000049825
