name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
quadratic, 0.9781158065141446, 0.16549466545298244, 0.8908690075178921, 0.16549466525833664, 0.2506006, 0.1676136, 0.167581
proxy, 0.9818223829477449, 0.17574021211254304, 0.9519426602324899, 0.1208705716182143, 0.0558072, 0.0440684, 0.1241228
shapley, 0.9876912748767126, 0.1287199891743063, 0.9784778295141594, 0.11928722493692336, 0.1393095, 0.088172, 0.1207326
svcg, 0.9872803083043921, 0.12827044554910766, 0.9712659337883706, 0.12404429434185216, 0.10849946666534191, 0.05930333333349727, 0.09423219999908528
bid, 0.9571348479724492, 0.23296902144383372, 0.7491372081999564, 0.23039353253646516, 0.4450992, 0.2695934, 0.2338622
quadratic, 0.9762398589177653, 0.1655259612036318, 0.901444877749055, 0.16552595501214037, 0.2684414, 0.1794944, 0.1794528
proxy, 0.979050449730218, 0.18498432428202455, 0.9487166706263849, 0.12564940318661336, 0.0597992, 0.047228, 0.1251124
shapley, 0.9867282604938099, 0.12823582494850516, 0.9892846707994091, 0.11911324992521805, 0.1492817, 0.0944281, 0.1278922
svcg, 0.9861304324217569, 0.1286157415847578, 0.9811920606179907, 0.12428678313087864, 0.11618233333259786, 0.063520999999975, 0.1009739333322245
bid, 0.9553167685578026, 0.22836271285267468, 0.7700493783438079, 0.22577071570561882, 0.4700604, 0.2920968, 0.245407
quadratic, 0.9740761777433644, 0.16553607261446437, 0.9093352900527041, 0.16553607233566725, 0.2890774, 0.1932838, 0.1931286
proxy, 0.9771271325133667, 0.18868936561673, 0.9485799795840267, 0.12825106543367187, 0.0643512, 0.0508808, 0.1259224
shapley, 0.9865188715318908, 0.12234217093471884, 1.0037747930750678, 0.11643754510890583, 0.1607621, 0.1016625, 0.1347458
svcg, 0.9848175831480287, 0.12876539638774687, 0.9884803867534683, 0.12455870443843711, 0.12508833333327699, 0.06823599999976313, 0.10871159999900376
bid, 0.9562169975909499, 0.2164376805736641, 0.8052293156935866, 0.21388997992690587, 0.486563, 0.3204048, 0.2505398
quadratic, 0.9717257236920297, 0.1649560787543374, 0.9155492919451581, 0.1649370213174331, 0.313162, 0.20984, 0.20898
proxy, 0.9770107545347771, 0.18202548453603384, 0.9597249958186678, 0.12529397434106504, 0.0696804, 0.0551376, 0.1289148
shapley, 0.9858062227802975, 0.11917998251714042, 1.0127233088063672, 0.11462570955919393, 0.174089, 0.1102414, 0.1437141
svcg, 0.9838834109776856, 0.12625896288624996, 0.9971526545794372, 0.12289082147885384, 0.1353876000007315, 0.07401379999949807, 0.11747679999951846
bid, 0.9585223626316213, 0.20108907952953536, 0.8450575433849449, 0.19853408712200077, 0.4958732, 0.346489, 0.2515776
quadratic, 0.9699090088437505, 0.16191524523829698, 0.9245817414547739, 0.16163387050199776, 0.341512, 0.231047, 0.2239716
proxy, 0.9768842336846199, 0.1753384352872491, 0.9669797161299236, 0.12238664029090399, 0.075952, 0.0600876, 0.1319164
shapley, 0.985010206056381, 0.11590999355883735, 1.0185543436063855, 0.11253857320620032, 0.1898231, 0.1209466, 0.1531453
svcg, 0.9833588379080311, 0.12130059771821575, 1.0065222628225725, 0.11948511805341995, 0.14764320000167214, 0.08092479999917743, 0.12514646666663123
bid, 0.9615976188262126, 0.18420461347960954, 0.8846204362862705, 0.18144856065564577, 0.4997036, 0.3652738, 0.2523422
quadratic, 0.96884833816891, 0.15638875164803695, 0.9357400306705635, 0.15540854906411064, 0.3755912, 0.2588238, 0.2365448
proxy, 0.9770613002859511, 0.16756678327272562, 0.9713834109342157, 0.11874284239283703, 0.0834964, 0.066028, 0.1345584
shapley, 0.9845493177106683, 0.11079604671070281, 1.023465461012433, 0.10879716757673649, 0.2087612, 0.1347723, 0.162614
svcg, 0.9835300630897975, 0.11384450486328988, 1.0172717971580394, 0.11291885751774978, 0.16226780000280155, 0.09125619999868921, 0.13304280000045057
bid, 0.9642768466772048, 0.1684446715847124, 0.9162489378143769, 0.16550835370341047, 0.500308, 0.3736076, 0.2514758
quadratic, 0.9688502868294835, 0.1480091723644264, 0.9487223454279594, 0.14580925382432372, 0.4116412, 0.2898866, 0.246053
proxy, 0.9772518255054662, 0.16007696843511418, 0.9699587260455174, 0.11533074967715955, 0.09276, 0.0733492, 0.1372168
shapley, 0.9843328533593129, 0.10463328854772927, 1.0256053905134745, 0.10371949481075945, 0.2290713, 0.149796, 0.1711273
svcg, 0.9840620877447172, 0.10538005882447599, 1.025135861795789, 0.10470777484864671, 0.17842313333735169, 0.10337813333146248, 0.1414435333343094
bid, 0.9671701992371936, 0.15236293019550168, 0.9424536394471715, 0.14921070381011034, 0.5003222, 0.375612, 0.2509788
quadratic, 0.9703023054663834, 0.13604021502276845, 0.9633760885719562, 0.13259035202099836, 0.444163, 0.3196218, 0.2505792
proxy, 0.9778496326883499, 0.151360782629084, 0.9658339156568947, 0.11099602596950167, 0.1044064, 0.0826096, 0.1394484
shapley, 0.9844159565233201, 0.09745641831491222, 1.0252400363182597, 0.09713816675469404, 0.248225, 0.1637931, 0.1782272
svcg, 0.9842324651056173, 0.09918028452184935, 1.0241171341672841, 0.09726130690477568, 0.19452266667181664, 0.1158052666657703, 0.15089993333482288
bid, 0.9702413829095946, 0.13619711661291994, 0.9631795367115463, 0.13270282844931933, 0.5002386, 0.3755992, 0.2508554
quadratic, 0.9733747413356547, 0.12014766065718606, 0.9788454805947102, 0.11618115003172919, 0.4717794, 0.347091, 0.250729
proxy, 0.9786159995667181, 0.1425044305259053, 0.958198465441855, 0.10654769087708454, 0.119422, 0.0942424, 0.1417656
shapley, 0.9849222738238933, 0.08941339003355456, 1.0224195237527607, 0.08917003655108335, 0.2657642, 0.1763821, 0.1837199
