name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
quadratic, 0.9803353775267475, 0.16149899682798186, 0.913299009431576, 0.15688625937332074, 0.2504656, 0.171966, 0.1717702
proxy, 0.981649774202031, 0.17290076078506245, 0.9190517687600733, 0.13212289526508, 0.1668456, 0.1322412, 0.1997056
shapley, 0.9826213268632252, 0.1597801358298522, 0.9233613680598569, 0.13897553568759619, 0.1947892, 0.1411982, 0.2041334
svcg, 0.9828420547802467, 0.15672397927840523, 0.9247852220365029, 0.14033905935411223, 0.1698182000016019, 0.11965499999977161, 0.18737846666774777
bid, 0.9678524721677162, 0.21448460922167328, 0.8614479188466766, 0.1918534311690077, 0.3337416, 0.2417936, 0.19622
quadratic, 0.9743085362358836, 0.16317172275860603, 0.9220233743140706, 0.1623621826656551, 0.3029226, 0.2039466, 0.1890206
proxy, 0.9749204191103563, 0.20764489028991748, 0.873327875867212, 0.15658024283974897, 0.1668456, 0.1316032, 0.1740848
shapley, 0.9766123651513305, 0.1820530144108933, 0.8955767725886864, 0.15721871119657765, 0.2063588, 0.1437438, 0.184613
svcg, 0.9762664913434734, 0.17916964969364743, 0.8960447647627486, 0.15881878942806155, 0.17505060000227088, 0.1180531999996272, 0.16681760000095838
bid, 0.9614058276966034, 0.20528645872866236, 0.8838978034182959, 0.18957437685743847, 0.421919, 0.3028374, 0.235082
quadratic, 0.971589034734246, 0.15248969922426842, 0.9565563137624844, 0.1497465033215919, 0.3598066, 0.2476194, 0.2182324
proxy, 0.9694348003521903, 0.2241188044777133, 0.8354307111916537, 0.172227653987808, 0.1668456, 0.1295444, 0.1518456
shapley, 0.9727316961558446, 0.18072053534796778, 0.8904883268350757, 0.1596372047009397, 0.2251759, 0.1485991, 0.171829
svcg, 0.9745088683690234, 0.16596291812668867, 0.9133825490914789, 0.15244188003155595, 0.18992193333671464, 0.12255339999981942, 0.14874366666742272
bid, 0.9629900037225606, 0.17698073120191457, 0.9304678495287687, 0.16643017604244675, 0.4793864, 0.3498602, 0.248866
quadratic, 0.9705146428602728, 0.13864885303239924, 0.9773614407129709, 0.1330495665257025, 0.4187568, 0.2952596, 0.2410374
proxy, 0.9717752583716593, 0.19473946983647747, 0.8757682902353637, 0.15134462301009413, 0.1668456, 0.1283544, 0.1455572
shapley, 0.9797730897174081, 0.12533820139406623, 0.9779442311868977, 0.11907403039755707, 0.2512304, 0.1644751, 0.1774161
svcg, 0.9794478493055072, 0.12551927771961266, 0.9781737942254737, 0.12001894662619855, 0.212477266671107, 0.13321946666712323, 0.1543078000011682
bid, 0.9685799976270383, 0.1439268949390126, 0.9725519000123424, 0.1363438097597024, 0.4996726, 0.3715434, 0.248425
quadratic, 0.9742135365431736, 0.1146382158211983, 0.9930516864747061, 0.10878917642478184, 0.472428, 0.3455148, 0.2479282
proxy, 0.9768349263425858, 0.15535244641148743, 0.9212129512795472, 0.12072047442953046, 0.1668456, 0.128346, 0.145272
shapley, 0.983429549863099, 0.09533117286331967, 1.0055986453254135, 0.09368104630271738, 0.277984, 0.1815477, 0.1851635
svcg, 0.9817840849225168, 0.10779659056012313, 0.987104813119967, 0.10024234584856714, 0.2317289333357316, 0.14473693333457774, 0.16466133333499586
bid, 0.9742107024809239, 0.11464423684673922, 0.9930457510328508, 0.1087930578136551, 0.5001552, 0.373236, 0.247917
quadratic, 0.9794389645745434, 0.08915821077731645, 0.9975144823303478, 0.08460365125538351, 0.5001552, 0.3732534, 0.247944
proxy, 0.9811627800868098, 0.1222514473765017, 0.9427645617761111, 0.09513899500935992, 0.1668456, 0.1279292, 0.1451856
shapley, 0.98664228350593, 0.07434273614177636, 1.0064750404030025, 0.07317781613956453, 0.2918476, 0.193798, 0.1865925
svcg, 0.9856860730355168, 0.08639977783601768, 0.989122877779613, 0.07817711552672318, 0.2409713333346642, 0.15671700000202074, 0.17260613333522418
bid, 0.9794390727305539, 0.0891580029749797, 0.9975151064089126, 0.08460334784784332, 0.5001552, 0.373254, 0.2479448
quadratic, 0.984235222166381, 0.06686530176740173, 0.998300283763099, 0.06342722615310041, 0.5001552, 0.373296, 0.2480272
proxy, 0.9852290370857038, 0.09300722285691637, 0.9573223868029976, 0.07248942828468145, 0.1668456, 0.127448, 0.1448552
shapley, 0.9897643527089152, 0.05576430463519293, 1.0045436502966525, 0.05487408223929907, 0.2918476, 0.1938852, 0.1866956
svcg, 0.9890192525160938, 0.06479040399894542, 0.9923098978464113, 0.05863506620348246, 0.2409713333346642, 0.1566883333353527, 0.17257546666855633
